Recipe_id,Recipe_name,Recipe_url,Ingredients,Recipe_image
1,How to Make Perfect Hard Boiled Eggs,https://www.simplyrecipes.com/recipes/how_to_make_perfect_hard_boiled_eggs/,Eggs,https://www.simplyrecipes.com/wp-content/uploads/2014/07/hard-boiled-eggs-horiz-800.jpg
2,Cheesy Potato Casserole,https://www.simplyrecipes.com/recipes/cheesy_potato_casserole/,butter onion garlic flour vegetable chickenstock cheddar cheese salt pepper hashbrowns,https://www.simplyrecipes.com/wp-content/uploads/2020/03/Cheesy-Potato-Casserole-LEAD-02-768x512.jpg
3,French Toast,https://www.simplyrecipes.com/recipes/french_toast/,eggs milk cinnamon bread Butter Maplesyrup ,https://www.simplyrecipes.com/wp-content/uploads/2014/10/french-toast-horiz-a-1200-768x512.jpg
4,Corned Beef Hash,https://www.simplyrecipes.com/recipes/corned_beef_hash/ ,butter onion cornedbeef potatoes Salt pepper parsley,https://www.simplyrecipes.com/wp-content/uploads/2009/03/corned-beef-hash-horiz-a-1200-768x512.jpg
5,Instant Pot Easy-Peel Hard Boiled Eggs,https://www.simplyrecipes.com/recipes/easy_peel_hard_boiled_eggs_in_the_pressure_cooker/,eggs,https://www.simplyrecipes.com/wp-content/uploads/2017/04/2017-04-11-Pressure-Cooker-Hardboiled-Eggs-14-768x510.jpg
6,How to Make Eggs Benedict,https://www.simplyrecipes.com/recipes/eggs_benedict/,bacon parsley eggs ricevinegar Englishmuffins butter lemonjuice salt cayenne,https://www.simplyrecipes.com/wp-content/uploads/2010/04/eggs-benedict-horiz-a-1600-768x540.jpg
7,Slow Cooker French Toast Casserole,https://www.simplyrecipes.com/recipes/slow_cooker_french_toast_casserole/,bread butter eggs brownsugar vanilla cinnamon nutmeg salt sugar maplesyrup,https://www.simplyrecipes.com/wp-content/uploads/2019/04/slow_cooker_french_toast_HERO00015-768x512.jpg
8,Angel Biscuits,https://www.simplyrecipes.com/recipes/angel_biscuits/,yeast flour sugar salt bakingpowder bakingsoda butter buttermilk,https://www.simplyrecipes.com/wp-content/uploads/2019/10/angel-biscuits-lead-6-768x512.jpg
9,Classic Coffee Cake,https://www.simplyrecipes.com/recipes/classic_coffee_cake/,cinnamon flour sugar bakingpowder bakingsoda salt butter cream milk eggs vanillaextract,https://www.simplyrecipes.com/wp-content/uploads/2019/04/Coffee-Cake-LEAD-1-768x512.jpg
10,Lemon Pound Cake,https://www.simplyrecipes.com/recipes/lemon_pound_cake/,bread flour bakingsoda salt cream egg butter sugar lemonjuice,https://www.simplyrecipes.com/wp-content/uploads/2019/04/Lemon-Pound-Cake-LEAD-HORIZONTAL-768x512.jpg
11,How To Make The Best Detox Smoothie,https://www.simplyrecipes.com/recipes/how_to_make_the_best_detox_smoothie/,apple beet strawberries pineapple avocado spinach lemonjuice cayenne,https://www.simplyrecipes.com/wp-content/uploads/2017/01/2017-01-07-HT-Detox-Smoothie-4-768x512.jpg
12,Brown Sugar Baked Ham with Pineapple,https://www.simplyrecipes.com/recipes/brown_sugar_baked_ham_with_pineapple/,ham sugar cloves pineapple,https://www.simplyrecipes.com/wp-content/uploads/2019/03/Brown-Sugar-Ham-LEAD-HORIZONTAL-1-768x511.jpg
13,Biscuits and Gravy Casserole,https://www.simplyrecipes.com/recipes/biscuits_and_gravy_casserole/,flour cornstarch bakingpowder butter buttermilk oil mushrooms onions sausage flour sage pepper nutmeg salt milk,https://www.simplyrecipes.com/wp-content/uploads/2019/04/Biscuit-Gravy-Casserole-LEAD-7-768x512.jpg
14,French Toast Casserole,https://www.simplyrecipes.com/recipes/french_toast_casserole/,bread eggs milk orange butter sugar cinnamon salt,https://www.simplyrecipes.com/wp-content/uploads/2016/11/2016-12-07-FrenchToastCasserole-9-768x512.jpg
15,Easy Poached Eggs,https://www.simplyrecipes.com/recipes/easy_poached_eggs/,eggs,https://www.simplyrecipes.com/wp-content/uploads/2014/09/poached-egg-horiz-b-1800-768x512.jpg
16,Chilaquiles,https://www.simplyrecipes.com/recipes/chilaquiles/,corntortillas Cornoil Salt redchilesauce epazote cream Cilantro onion Avocado,https://www.simplyrecipes.com/wp-content/uploads/2008/11/chilaquiles-rojos-horiz-a-1600.jpg
17,Broccoli Cheddar Bites,https://www.simplyrecipes.com/recipes/broccoli_cheddar_bites/,broccoli eggs bread onion mayonnaise cheese lemon salt pepper,https://www.simplyrecipes.com/wp-content/uploads/2015/09/broccoli-cheddar-bites-horiz-a-1500.jpg
18,How to Make the Best Oatmeal,https://www.simplyrecipes.com/recipes/how_to_make_the_best_oatmeal/,oats milk sugar strawberries orange,https://www.simplyrecipes.com/wp-content/uploads/2019/01/How-to-Make-Oatmeal-2-768x512.jpg
19,Peanut Butter Cookies,https://www.simplyrecipes.com/recipes/peanut_butter_cookies/,butter sugar peanutbutter egg flour bakingsoda bakingpowder salt,https://www.simplyrecipes.com/wp-content/uploads/2015/08/peanut-butter-cookies-horiz-a-1800-768x512.jpg
20,Perfect Pie Crust,https://www.simplyrecipes.com/recipes/perfect_pie_crust/,flour butter salt sugar ,https://www.simplyrecipes.com/wp-content/uploads/2005/06/perfect-pie-crust-horiz-a-1800-768x512.jpg
21,Perfect Cheesecake,https://www.simplyrecipes.com/recipes/perfect_cheesecake/,cracker butter salt eggs cream vanilla raspberries sugar,https://www.simplyrecipes.com/wp-content/uploads/2014/12/perfect-cheesecake-horiz-a-1200-768x512.jpg
22,Rice Pudding,https://www.simplyrecipes.com/recipes/rice_pudding/,milk rice salt egg sugar vanilla cinnamon raisins,https://www.simplyrecipes.com/wp-content/uploads/2008/04/rice-pudding-horiz-a-1600-768x548.jpg
23,Chocolate Banana Bread,https://www.simplyrecipes.com/recipes/chocolate_banana_bread/,bananas butter sugar salt egg vanilla flour cocoapowder bakingsoda allspice chocolatechips,https://www.simplyrecipes.com/wp-content/uploads/2015/01/chocolate-banana-bread-horiz-a-1200-768x512.jpg
24,Walnut Snowball Cookies,https://www.simplyrecipes.com/recipes/walnut_snowball_cookies/,flour walnuts vanilla butter salt sugar,https://www.simplyrecipes.com/wp-content/uploads/2010/12/walnut-snowball-cookies-horiz-a-1600-768x512.jpg
25,Lemon Meringue Pie,https://www.simplyrecipes.com/recipes/lemon_meringue_pie/,salt lemonjuice lemon butter cornstarch cream sugar eggs vanilla,https://www.simplyrecipes.com/wp-content/uploads/2016/05/lemon-meringue-pie-horiz-b-1600-768x512.jpg
26,Cream Cheese Frosting,https://www.simplyrecipes.com/recipes/cream_cheese_frosting/,butter cream cheese sugar vanilla ,https://www.simplyrecipes.com/wp-content/uploads/2008/02/cream-cheese-frosting-horiz-a-1600-768x522.jpg
27,Oatmeal Raisin Cookies,https://www.simplyrecipes.com/recipes/oatmeal_raisin_cookies/,butter sugar eggs vanilla flour salt bakingsoda cinnamon nutmeg raisins walnuts oats,https://www.simplyrecipes.com/wp-content/uploads/2008/03/oatmeal-raisin-cookies-horiz-b-1400-768x541.jpg
28,Gingerbread Cookies,https://www.simplyrecipes.com/recipes/gingerbread_man_cookies/,flour bakingsoda ginger cinnamon cloves nutmeg salt pepper butter sugar eggs lemonjuice sugar,https://www.simplyrecipes.com/wp-content/uploads/2009/12/gingerbread-man-cookie-horiz-a-1800-768x512.jpg
29,Baked Apples,https://www.simplyrecipes.com/recipes/baked_apples/,apples sugar cinnamon pecans raisins butter ,https://www.simplyrecipes.com/wp-content/uploads/2014/11/baked-apples-horiz-a-1800-768x495.jpg
30,Homemade Apple Pie,https://www.simplyrecipes.com/recipes/old_fashioned_apple_pie/,apples lemon juice sugar flour cinnamon allspice nutmeg brandy vanilla cream eggs cream,https://www.simplyrecipes.com/wp-content/uploads/2014/09/apple-pie-horiz-a-1800-768x519.jpg
31,Lemon Cheesecake,https://www.simplyrecipes.com/recipes/lemon_cheesecake/,cookies butter cream cheese sugar lemon eggs cream salt,https://www.simplyrecipes.com/wp-content/uploads/2019/05/lemon_cheesecake_hero2-768x512.jpg
32,Chocolate Fondue,https://www.simplyrecipes.com/recipes/chocolate_fondue/,chocolate cream salt strawberries bananas appricots apples,https://www.simplyrecipes.com/wp-content/uploads/2008/02/chocolate-fondue-horiz-640.jpg
33,Classic Coffee Cake,https://www.simplyrecipes.com/recipes/classic_coffee_cake/,flour sugar bakingpowder bakingsoda salt butter cream milk eggs vanillaextract cinnamon,https://www.simplyrecipes.com/wp-content/uploads/2019/04/Coffee-Cake-LEAD-1-768x512.jpg
34,"No Fail, Sour Cream Pie Crust",https://www.simplyrecipes.com/recipes/sour_cream_pie_crust/ ,flour salt sugar butter cream,https://www.simplyrecipes.com/wp-content/uploads/2013/10/no-fail-sour-cream-pastry-crust-horiz-a-1200.jpg
35,Mexican Wedding Cookies,https://www.simplyrecipes.com/recipes/mexican_wedding_cookies/,pecan butter sugar vanilla flour salt,https://www.simplyrecipes.com/wp-content/uploads/2016/10/mexican-wedding-cookies-horiz-a-2000-768x512.jpg
36,Lemon Pound Cake,https://www.simplyrecipes.com/recipes/lemon_pound_cake/,bread flour bakingsoda salt cream egg butter sugar lemonjuice,https://www.simplyrecipes.com/wp-content/uploads/2019/04/Lemon-Pound-Cake-LEAD-HORIZONTAL-768x512.jpg
37,Instant Pot Easy-Peel Hard Boiled Eggs,https://www.simplyrecipes.com/recipes/easy_peel_hard_boiled_eggs_in_the_pressure_cooker/,eggs,https://www.simplyrecipes.com/wp-content/uploads/2017/04/2017-04-11-Pressure-Cooker-Hardboiled-Eggs-14-768x510.jpg
38,Best Ever Tuna Salad Sandwich,https://www.simplyrecipes.com/recipes/tuna_salad_sandwich/,tuna cottage cheese mayonnaise onion celery capers lemonjuice dill parsley mustard bread Lettuce tomatoes,https://www.simplyrecipes.com/wp-content/uploads/2018/07/Add-ins-for-tuna-salad-2-768x512.jpg
39,How to Make a Grilled Cheese Sandwich,https://www.simplyrecipes.com/recipes/how_to_make_a_grilled_cheese_sandwich/,bread cheese salt butter,https://www.simplyrecipes.com/wp-content/uploads/2020/01/Grilled-Cheese-LEAD-10-768x512.jpg
40,Easy Salmon Foil Packets with Vegetables,https://www.simplyrecipes.com/recipes/cooking_for_two_easy_salmon_and_vegetable_foil_packets/,mayonnaise harissa honey limejuice oil potato salt pepper peas tomatoes limejuice salmon ,https://www.simplyrecipes.com/wp-content/uploads/2020/01/Baked-Harissa-Salmon-METHOD-10-768x512.jpg
41,Chinese Orange Chicken,https://www.simplyrecipes.com/recipes/chinese_orange_chicken/,orange orangejuice sauce vinegar cornstarch oil sugar chicken eggs salt pepper cornstarch flour oil garlic shallot,https://www.simplyrecipes.com/wp-content/uploads/2020/01/Chinese-Orange-Chicken-Lead-1-768x512.jpg
42,Quesadilla,https://www.simplyrecipes.com/recipes/quesadilla/,flour tortillas cheese butter mushrooms onions olives tomatoes Chicken Avocado Lettuce vinegar Salt,https://www.simplyrecipes.com/wp-content/uploads/2006/05/quesadilla-hoirz-640.jpg
43,Italian Grilled Cheese Sandwiches,https://www.simplyrecipes.com/recipes/italian_grilled_cheese_sandwiches/,cauliflower olives banana peppers bread cheese salami prosciutto pepperoni basil butter,https://www.simplyrecipes.com/wp-content/uploads/2019/05/EYF-Italian-Grilled-Cheese-LEAD-4-768x512.jpg
44,Salmon Patties,https://www.simplyrecipes.com/recipes/salmon_patties/,salmon bread onion garlic dill pepper flour egg paprika lemon lemonjuice salt pepper oil,https://www.simplyrecipes.com/wp-content/uploads/2015/12/Salmon-Patties-LEAD-4-768x512.jpg
45,Quick and Easy Egg Salad Sandwich,https://www.simplyrecipes.com/recipes/egg_salad_sandwich/,egg mayonnaise celery onion Salt pepper Lettuce bread,https://www.simplyrecipes.com/wp-content/uploads/2015/04/Egg-Salad-Sandwich-LEAD-4-768x512.jpg
46,Apple Chicken Quesadilla,https://www.simplyrecipes.com/recipes/apple_chicken_quesadilla/,Flour tortillas chicken cheddar apple salsa,https://www.simplyrecipes.com/wp-content/uploads/2006/10/apple-chicken-quesadilla-horiz-a-1800-768x513.jpg
47,Avocado Lettuce Tomato Sandwich (ALT),https://www.simplyrecipes.com/recipes/avocado_lettuce_tomato_sandwich_alt/,bread avocado Lettuce tomato salt Mayonnaise,https://www.simplyrecipes.com/wp-content/uploads/2013/08/avocado-lettuce-tomato-sandwich-horiz-a-1800-768x512.jpg
48,Apple Peanut Butter Sandwich,https://www.simplyrecipes.com/recipes/apple_peanut_butter_sandwich/,bread apple peanutbutter,https://www.simplyrecipes.com/wp-content/uploads/2011/05/apple-pb-sandwich-iphone.jpg
49,Butternut Squash and Black Bean Skillet Dinner,https://www.simplyrecipes.com/recipes/butternut_squash_and_black_bean_skillet_dinner/,squash oil salt pepper quinoa onion garlic chilipowder cumin oregano vegetablestock tomatoes beans spinach pepitas cheese,https://www.simplyrecipes.com/wp-content/uploads/2020/01/Quinoa-Squash-Skillet-LEAD-1-768x512.jpg
50,Creamy Tortellini Soup with Sausage and Spinach,https://www.simplyrecipes.com/recipes/creamy_tortellini_soup_with_sausage_and_spinach/,oil sausage onion mushrooms salt carrots garlic chickenstock cheese spinach beans vinegar milk,https://www.simplyrecipes.com/wp-content/uploads/2020/03/Creamy-Tortellini-Soup-LEAD-15-768x512.jpg
