Recipe_id,Recipe_name,Recipe_url,Recipe_image,Ingredients 
1,How to Make Perfect Hard Boiled Eggs,https://www.simplyrecipes.com/recipes/how_to_make_perfect_hard_boiled_eggs/,https://www.simplyrecipes.com/wp-content/uploads/2014/07/hard-boiled-eggs-horiz-800.jpg,Eggs
2,Cheesy Potato Casserole,https://www.simplyrecipes.com/recipes/cheesy_potato_casserole/,https://www.simplyrecipes.com/wp-content/uploads/2020/03/Cheesy-Potato-Casserole-LEAD-02-768x512.jpg,butter+onion+garlic+flour+vegetable+chickenstock+cheddar+cheese+salt+pepper+hashbrowns
3,French Toast,https://www.simplyrecipes.com/recipes/french_toast/,https://www.simplyrecipes.com/wp-content/uploads/2014/10/french-toast-horiz-a-1200-768x512.jpg,eggs+milk+cinnamon+bread+Butter+Maplesyrup 
4,Corned Beef Hash,https://www.simplyrecipes.com/recipes/corned_beef_hash/ ,https://www.simplyrecipes.com/wp-content/uploads/2009/03/corned-beef-hash-horiz-a-1200-768x512.jpg,butter+onion+cornedbeef+potatoes +Salt+pepper+parsley
5,Instant Pot Easy-Peel Hard Boiled Eggs,https://www.simplyrecipes.com/recipes/easy_peel_hard_boiled_eggs_in_the_pressure_cooker/,https://www.simplyrecipes.com/wp-content/uploads/2017/04/2017-04-11-Pressure-Cooker-Hardboiled-Eggs-14-768x510.jpg,eggs
6,How to Make Eggs Benedict,https://www.simplyrecipes.com/recipes/eggs_benedict/,https://www.simplyrecipes.com/wp-content/uploads/2010/04/eggs-benedict-horiz-a-1600-768x540.jpg,bacon+parsley+eggs+ricevinegar+Englishmuffins+butter+lemonjuice+salt+cayenne
7,Slow Cooker French Toast Casserole,https://www.simplyrecipes.com/recipes/slow_cooker_french_toast_casserole/,https://www.simplyrecipes.com/wp-content/uploads/2019/04/slow_cooker_french_toast_HERO00015-768x512.jpg,bread+butter+eggs+brownsugar +vanilla+ cinnamon +nutmeg +salt+ sugar +maplesyrup
8,Angel Biscuits,https://www.simplyrecipes.com/recipes/angel_biscuits/,https://www.simplyrecipes.com/wp-content/uploads/2019/10/angel-biscuits-lead-6-768x512.jpg,yeast+flour+ sugar +salt+ bakingpowder +bakingsoda+ butter+ buttermilk
9,Classic Coffee Cake,https://www.simplyrecipes.com/recipes/classic_coffee_cake/,https://www.simplyrecipes.com/wp-content/uploads/2019/04/Coffee-Cake-LEAD-1-768x512.jpg,cinnamon+ flour +sugar+ bakingpowder +bakingsoda +salt+ butter+ cream+ milk+ eggs+ vanillaextract
10,Lemon Pound Cake,https://www.simplyrecipes.com/recipes/lemon_pound_cake/,https://www.simplyrecipes.com/wp-content/uploads/2019/04/Lemon-Pound-Cake-LEAD-HORIZONTAL-768x512.jpg,bread+ flour+ bakingsoda+ salt+ cream +egg +butter+ sugar+ lemonjuice
11,How To Make The Best Detox Smoothie,https://www.simplyrecipes.com/recipes/how_to_make_the_best_detox_smoothie/,https://www.simplyrecipes.com/wp-content/uploads/2017/01/2017-01-07-HT-Detox-Smoothie-4-768x512.jpg,apple +beet+ strawberries+ pineapple+ avocado+ spinach +lemonjuice+ cayenne
12,Brown Sugar Baked Ham with Pineapple,https://www.simplyrecipes.com/recipes/brown_sugar_baked_ham_with_pineapple/,https://www.simplyrecipes.com/wp-content/uploads/2019/03/Brown-Sugar-Ham-LEAD-HORIZONTAL-1-768x511.jpg,ham+ sugar+ cloves+ pineapple
13,Biscuits and Gravy Casserole,https://www.simplyrecipes.com/recipes/biscuits_and_gravy_casserole/,https://www.simplyrecipes.com/wp-content/uploads/2019/04/Biscuit-Gravy-Casserole-LEAD-7-768x512.jpg,flour +cornstarch+ bakingpowder +butter+ buttermilk +oil+ mushrooms +onions+ sausage +flour+ sage+ pepper+ nutmeg+ salt+ milk
14,French Toast Casserole,https://www.simplyrecipes.com/recipes/french_toast_casserole/,https://www.simplyrecipes.com/wp-content/uploads/2016/11/2016-12-07-FrenchToastCasserole-9-768x512.jpg,bread+ eggs +milk +orange +butter+ sugar +cinnamon +salt
15,Easy Poached Eggs,https://www.simplyrecipes.com/recipes/easy_poached_eggs/,https://www.simplyrecipes.com/wp-content/uploads/2014/09/poached-egg-horiz-b-1800-768x512.jpg,eggs
